name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score,Power Transformed
LogisticRegressionElasticNet_Base,0.10726899215883248,0.08627518064600281,0.0860353300012566,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales"
LogisticRegressionElasticNet_Base,0.10678877184947157,0.08619760902270913,0.08589014902715164,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales"
LogisticRegressionLasso_Base,0.10530640028746241,0.08679965483267482,0.08581105413066259,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales"
LogisticRegressionLasso_Base,0.10523595230591973,0.08682130735895396,0.08581096709311811,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales"
LogisticRegressionRidge_Base,0.10710212360441985,0.0864851183190254,0.08579163371505447,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales"
LogisticRegressionElasticNet_Base,0.10521935347851756,0.08629769704532451,0.08564863307386353,0.0,0.0,0.0,0.9828200559938916,Net Sales
LogisticRegressionRidge_Base,0.10491212958357113,0.08653867763109861,0.0855469231656271,0.0,0.0,0.0,0.9828200559938916,Net Sales
LogisticRegressionBase_Base,0.10464421938889774,0.0872101552827839,0.08549824362027544,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales"
LogisticRegressionElasticNet_Base,0.10481801693796433,0.08633157757889032,0.08548515416727986,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales"
LogisticRegressionElasticNet_Base,0.10831673497710995,0.08591990256638989,0.08548483602332618,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales, Age"
LogisticRegressionRidge_Base,0.10622846376567148,0.0863061859535724,0.08547422823848572,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales"
LogisticRegressionBase_Base,0.1049817613091505,0.08713224714614433,0.085438590703135,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales"
LogisticRegressionRidge_Base,0.10465140568022908,0.08653564015152933,0.08542838207105379,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales"
LogisticRegressionElasticNet_Base,0.10750922719335515,0.08503975791406804,0.08542115771636698,0.0,0.0,0.0,0.9828200559938916,Duration
LogisticRegressionLasso_Base,0.10611930275743725,0.08638444284580686,0.08533187146428732,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales, Age"
LogisticRegressionRidge_Base,0.10829084352570148,0.08615828866352773,0.0853187350100023,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10758365454822533,0.0857740316511959,0.08530141134454612,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales, Age"
LogisticRegressionLasso_Base,0.1030945101159554,0.08683011281155711,0.08528665414863042,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales"
LogisticRegressionBase_Base,0.10225612514145122,0.08717640547314387,0.08528155910732861,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales"
LogisticRegressionLasso_Base,0.10639873328069048,0.0864342910921697,0.08528045339217058,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales, Age"
LogisticRegressionRidge_Base,0.10537254880520117,0.08616524644083343,0.0852778579044416,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10551020488374763,0.08593567052232645,0.0852508605798811,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales, Age"
LogisticRegressionLasso_Base,0.10321074956843225,0.08682727057932804,0.08525004845674032,0.0,0.0,0.0,0.9828200559938916,Net Sales
LogisticRegressionBase_Base,0.10460376203041914,0.08603532383738403,0.0852292987720345,0.0,0.0,0.0,0.9828200559938916,Duration
LogisticRegressionBase_Base,0.1055931868170382,0.0867698137115832,0.08517623227557283,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10608823332471726,0.08602173558288875,0.08514946261837811,0.0,0.0,0.0,0.9828200559938916,"Net Sales, Age"
LogisticRegressionRidge_Base,0.10729863192419216,0.08594433066158956,0.08512687426865401,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales, Age"
LogisticRegressionLasso_Base,0.1076802183168503,0.0845390037498528,0.08507467272131504,0.0,0.0,0.0,0.9828200559938916,Duration
LogisticRegressionLasso_Base,0.1039774973324267,0.08651116232545711,0.08499401047454293,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales, Age"
LogisticRegressionRidge_Base,0.1057954088565075,0.08636630855979706,0.08497198007570698,0.0,0.0,0.0,0.9828200559938916,"Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10580494683052508,0.08484611266671828,0.08491816080449328,0.0,0.0,0.0,0.9828200559938916,None
LogisticRegressionRidge_Base,0.1063883248659801,0.08523703212450776,0.08491741552126136,0.0,0.0,0.0,0.9828200559938916,Duration
LogisticRegressionBase_Base,0.10676485586988722,0.08726272298760193,0.08490139110936082,0.0,0.0,0.0,0.9828200559938916,Net Sales
LogisticRegressionLasso_Base,0.10402765542311225,0.08662072432607729,0.08489692595244658,0.0,0.0,0.0,0.9828200559938916,"Net Sales, Age"
LogisticRegressionBase_Base,0.10460187284566762,0.08549994405380454,0.08488311033262723,0.0,0.0,0.0,0.9828200559938916,None
LogisticRegressionBase_Base,0.10607452655596364,0.08686416491735763,0.08470526635732209,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales, Age"
LogisticRegressionBase_Base,0.10297161193748393,0.08701687917015379,0.08452819690083682,0.0,0.0,0.0,0.9828200559938916,"Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10808326316741895,0.08362135379189961,0.08449305987913944,0.0,0.0,0.0,0.9828200559938916,"Duration, Age"
LogisticRegressionBase_Base,0.10317038347830887,0.08707204611580885,0.08445565176510386,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales, Age"
LogisticRegressionRidge_Base,0.10495113057740679,0.08507665135166283,0.08443812916239839,0.0,0.0,0.0,0.9828200559938916,None
LogisticRegressionLasso_Base,0.10606908046211885,0.08432703944145092,0.08442847774525743,0.0,0.0,0.0,0.9828200559938916,None
LogisticRegressionRidge_Base,0.10728344096522327,0.08388030225932383,0.08429274244462193,0.0,0.0,0.0,0.9828200559938916,"Duration, Age"
LogisticRegressionLasso_Base,0.10732227678716176,0.08365386142933245,0.08425448848599397,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission"
LogisticRegressionLasso_Base,0.10613032305210594,0.08323363160504064,0.08382233032581277,0.0,0.0,0.0,0.9828200559938916,Commission
LogisticRegressionElasticNet_Base,0.10572593415659784,0.0839969917104273,0.08370936970316956,0.0,0.0,0.0,0.9828200559938916,Commission
LogisticRegressionRidge_Base,0.1059791059542432,0.08411951865682218,0.08369653594736369,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission"
LogisticRegressionRidge_Base,0.10560065412108091,0.0837055477223227,0.08368037552615597,0.0,0.0,0.0,0.9828200559938916,Age
LogisticRegressionLasso_Base,0.10781675526370801,0.08396034767252543,0.08367792767934017,0.0,0.0,0.0,0.9828200559938916,"Duration, Age"
LogisticRegressionElasticNet_Base,0.1066026340601599,0.08345225342883983,0.08367113614927749,0.0,0.0,0.0,0.9828200559938916,Age
LogisticRegressionElasticNet_Base,0.10699995372038511,0.08392745272801823,0.08363167264044954,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission"
LogisticRegressionBase_Base,0.10466446023504081,0.08473978948082375,0.08359202325016962,0.0,0.0,0.0,0.9828200559938916,"Duration, Age"
LogisticRegressionRidge_Base,0.10488445550815632,0.08419960008475354,0.0834079914889431,0.0,0.0,0.0,0.9828200559938916,Commission
LogisticRegressionBase_Base,0.10461784856763247,0.08455454935321258,0.08339844541240789,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission"
LogisticRegressionBase_Base,0.10390935024511974,0.0843082052073508,0.08330078461563069,0.0,0.0,0.0,0.9828200559938916,Age
LogisticRegressionBase_Base,0.10287877627073341,0.08467988137216567,0.0830905554313259,0.0,0.0,0.0,0.9828200559938916,Commission
LogisticRegressionLasso_Base,0.10635221809363636,0.08363272364349242,0.08305167240157922,0.0,0.0,0.0,0.9828200559938916,Age
LogisticRegressionElasticNet_Base,0.10739675346571398,0.08250136863055349,0.08250400012519563,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Age"
LogisticRegressionBase_Base,0.10227403643830682,0.08337426588722184,0.08249835093478627,0.0,0.0,0.0,0.9828200559938916,"Commission, Age"
LogisticRegressionLasso_Base,0.10692553651376631,0.08324042496756712,0.08230969006957459,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Age"
LogisticRegressionRidge_Base,0.10607464894521035,0.08273728025724661,0.08227546903839207,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Age"
LogisticRegressionBase_Base,0.10422337871707503,0.08347741573656635,0.08223548698044769,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Age"
LogisticRegressionElasticNet_Base,0.10591032958338374,0.08242858259754987,0.08218745297674285,0.0,0.0,0.0,0.9828200559938916,"Commission, Age"
LogisticRegressionRidge_Base,0.1047852410431233,0.08278837182325596,0.08198669197495084,0.0,0.0,0.0,0.9828200559938916,"Commission, Age"
LogisticRegressionLasso_Base,0.10613396939731355,0.08262138058794186,0.0818614999173072,0.0,0.0,0.0,0.9828200559938916,"Commission, Age"
GradientBoost_Base,0.10583799683186491,0.1813247234781561,0.07985464513311558,0.0,0.0,0.0,0.9824382794604225,None
GradientBoost_Base,0.10346641187009775,0.2171471252942677,0.07890415085961175,0.0,0.0,0.0,0.9825655383049122,"Duration, Commission, Net Sales"
GradientBoost_Base,0.10286853399618744,0.22494004666922418,0.07842747681267033,0.0,0.0,0.0,0.9824382794604225,"Duration, Commission, Net Sales, Age"
GradientBoost_Base,0.10078352564370578,0.21535927857499101,0.07817187869653128,0.0,0.0,0.0,0.9824382794604225,"Duration, Age"
GradientBoost_Base,0.10478544505704217,0.22494165174622704,0.07784642909041663,0.0,0.0,0.0,0.9826927971494018,"Duration, Commission"
GradientBoost_Base,0.10739822141560018,0.2244129454731551,0.07740920244561514,0.0,0.0,0.0,0.9826927971494018,"Duration, Commission, Age"
GradientBoost_Base,0.10295632866203634,0.20069287137685424,0.07694860131593351,0.0,0.0,0.0,0.9824382794604225,Duration
GradientBoost_Base,0.10138218817483224,0.17465984600574316,0.0768291663500614,0.0,0.0,0.0,0.9825655383049122,Age
GradientBoost_Base,0.10338425284513536,0.19156480187534258,0.07646048232255027,0.0,0.0,0.0,0.9825655383049122,Net Sales
GradientBoost_Base,0.10129386510236152,0.21755595126343824,0.07600760450428137,0.0,0.0,0.0,0.9824382794604225,"Duration, Net Sales"
GradientBoost_Base,0.10024021312030507,0.22742223005640208,0.0757086924128215,0.0,0.0,0.0,0.9825655383049122,"Duration, Net Sales, Age"
GradientBoost_Base,0.10257647457697873,0.178677729990326,0.0751894334119809,0.0,0.0,0.0,0.9824382794604225,"Commission, Net Sales"
GradientBoost_Base,0.10568254522970712,0.1984166146775784,0.07509922149033038,0.0,0.0,0.0,0.9825655383049122,"Commission, Age"
GradientBoost_Base,0.10011823072887825,0.19522245595840276,0.07461955280868622,0.0,0.0,0.0,0.9825655383049122,"Net Sales, Age"
GradientBoost_Base,0.09994253978850925,0.17275553863160664,0.07446953777713841,0.0,0.0,0.0,0.9824382794604225,Commission
AdaBoost_Base,0.09921692006209878,0.07711319913189181,0.07424808510682127,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission"
AdaBoost_Base,0.09921692006209878,0.07703819534584003,0.07420217552744132,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Age"
AdaBoost_Base,0.09960202924586199,0.07680817592559458,0.07410511858690741,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales"
AdaBoost_Base,0.09921692006209878,0.07667112220150138,0.07403549346006551,0.0,0.0,0.0,0.9828200559938916,"Commission, Age"
AdaBoost_Base,0.09921692006209878,0.07665885950324777,0.07402818958560778,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales, Age"
AdaBoost_Base,0.09921692006209878,0.07657147376100018,0.07401164014649558,0.0,0.0,0.0,0.9828200559938916,Commission
AdaBoost_Base,0.09921692006209878,0.07667300675717956,0.0739663074597535,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales"
AdaBoost_Base,0.09921692006209878,0.07643357235556661,0.07389570971882271,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales, Age"
GradientBoost_Base,0.10481455523210746,0.20354825461941123,0.07197920333501111,0.0,0.0,0.0,0.9824382794604225,"Commission, Net Sales, Age"
AdaBoost_Base,0.08878296240424699,0.07365730657516396,0.07122078411058191,0.0,0.0,0.0,0.9828200559938916,"Net Sales, Age"
AdaBoost_Base,0.08878296240424699,0.07366401681764606,0.07107789290793223,0.0,0.0,0.0,0.9828200559938916,Net Sales
AdaBoost_Base,0.08878296240424699,0.073843623061302,0.07102040403390718,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales, Age"
AdaBoost_Base,0.08878296240424699,0.07313844665720934,0.07085348680511341,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales"
AdaBoost_Base,0.07436322325020878,0.07186505119309639,0.06934832549120036,0.0,0.0,0.0,0.9828200559938916,Duration
AdaBoost_Base,0.07436322325020878,0.07177718291690882,0.06932131506027128,0.0,0.0,0.0,0.9828200559938916,Age
AdaBoost_Base,0.07436322325020878,0.07177718291690882,0.06932131506027128,0.0,0.0,0.0,0.9828200559938916,None
AdaBoost_Base,0.07436322325020878,0.07188225789929537,0.06930542490608801,0.0,0.0,0.0,0.9828200559938916,"Duration, Age"
XGBoost_Base,0.06377131809578122,0.48834531586007585,0.06909549031517148,0.0,0.0,0.0,0.9823110206159328,"Duration, Age"
XGBoost_Base,0.07269606545821283,0.4742647672740654,0.0674317607834066,0.028169014084507043,0.014814814814814815,0.2857142857142857,0.9824382794604225,Duration
XGBoost_Base,0.0730455464715391,0.4678744646761774,0.06721871638875258,0.013793103448275862,0.007407407407407408,0.1,0.981801985237974,Age
XGBoost_Base,0.06624436450734567,0.48225390554968806,0.06567976889522484,0.0,0.0,0.0,0.9820565029269535,"Net Sales, Age"
XGBoost_Base,0.07419304041076497,0.503089992309665,0.06547936028315329,0.0,0.0,0.0,0.9825655383049122,"Duration, Commission, Net Sales, Age"
XGBoost_Base,0.06226803732766236,0.45196131945374673,0.0651378880083994,0.0,0.0,0.0,0.9821837617714431,"Duration, Net Sales"
XGBoost_Base,0.07519730730236743,0.5003152112753917,0.06390514131801775,0.013986013986013986,0.007407407407407408,0.125,0.9820565029269535,"Duration, Commission, Age"
XGBoost_Base,0.06830102671651485,0.4780426520897289,0.06386747313222979,0.0,0.0,0.0,0.981801985237974,"Commission, Age"
XGBoost_Base,0.06895223779071215,0.46577837385123616,0.06196827013150408,0.0,0.0,0.0,0.9824382794604225,"Commission, Net Sales"
XGBoost_Base,0.0743644137517768,0.47674546555035713,0.05977335021676365,0.0,0.0,0.0,0.9815474675489947,"Duration, Commission, Net Sales"
XGBoost_Base,0.07236603412011364,0.502357914844645,0.05924088997447807,0.014492753623188406,0.007407407407407408,0.3333333333333333,0.9826927971494018,"Commission, Net Sales, Age"
XGBoost_Base,0.0648444110050674,0.4758015600274814,0.05900300236189197,0.014285714285714285,0.007407407407407408,0.2,0.9824382794604225,"Duration, Commission"
XGBoost_Base,0.07715195790955659,0.46363026762731535,0.05885445101348745,0.014084507042253521,0.007407407407407408,0.14285714285714285,0.9821837617714431,Net Sales
XGBoost_Base,0.060942758657205914,0.4999296037963067,0.05811505802858259,0.0,0.0,0.0,0.9824382794604225,"Duration, Net Sales, Age"
XGBoost_Base,0.06252083130508279,0.469013937773817,0.05720969025995574,0.0,0.0,0.0,0.9825655383049122,None
XGBoost_Base,0.06425084184082248,0.46461422137118413,0.057132537272617565,0.0,0.0,0.0,0.9819292440824637,Commission
RandomForest_Base,0.05701396870824486,0.591175514764614,0.054999524740098484,0.03821656050955414,0.022222222222222223,0.13636363636363635,0.9807839144820565,"Commission, Net Sales"
RandomForest_Base,0.0479863379837754,0.5766508690749406,0.05387250457059818,0.013986013986013986,0.007407407407407408,0.125,0.9820565029269535,Commission
RandomForest_Base,0.0451775509877367,0.584725196319946,0.05353004439330955,0.0,0.0,0.0,0.9807839144820565,"Commission, Age"
RandomForest_Base,0.053825151203402574,0.7049380993942518,0.05176479851375326,0.02702702702702703,0.014814814814814815,0.15384615384615385,0.9816747263934843,"Duration, Commission, Age"
RandomForest_Base,0.049297748772644104,0.6910205099195161,0.051148423046606314,0.0,0.0,0.0,0.981801985237974,"Duration, Net Sales"
RandomForest_Base,0.06567133653091181,0.5676009104736262,0.05042053777569894,0.013986013986013986,0.007407407407407408,0.125,0.9820565029269535,Net Sales
RandomForest_Base,0.060265751575355526,0.6532670297253513,0.05022286045543062,0.027972027972027972,0.014814814814814815,0.25,0.9823110206159328,Duration
RandomForest_Base,0.06366652739751621,0.7134873096262064,0.04947047450329961,0.026490066225165563,0.014814814814814815,0.125,0.9812929498600153,"Duration, Commission, Net Sales"
RandomForest_Base,0.06081706243814948,0.5639477481250532,0.04908898464306878,0.050314465408805034,0.02962962962962963,0.16666666666666666,0.9807839144820565,None
RandomForest_Base,0.053277179782338924,0.6410384415214636,0.048638042034236724,0.026143790849673203,0.014814814814814815,0.1111111111111111,0.9810384321710359,"Duration, Age"
RandomForest_Base,0.04290075479292228,0.5800545304181346,0.04804216077652905,0.02531645569620253,0.014814814814814815,0.08695652173913043,0.9804021379485874,Age
RandomForest_Base,0.053504278488752985,0.7019092586562421,0.04756580209558246,0.013422818791946308,0.007407407407407408,0.07142857142857142,0.9812929498600153,"Duration, Net Sales, Age"
RandomForest_Base,0.05998540621582039,0.7050486231455247,0.047543117345065014,0.0136986301369863,0.007407407407407408,0.09090909090909091,0.9816747263934843,"Duration, Commission, Net Sales, Age"
RandomForest_Base,0.07412376797754815,0.6036781560557057,0.04670788221035103,0.052980132450331126,0.02962962962962963,0.25,0.981801985237974,"Commission, Net Sales, Age"
RandomForest_Base,0.05239385786887761,0.6006471840930855,0.04641030197303379,0.013245033112582781,0.007407407407407408,0.0625,0.9810384321710359,"Net Sales, Age"
RandomForest_Base,0.049843853735381305,0.7020828006242928,0.0456958997160241,0.0,0.0,0.0,0.9815474675489947,"Duration, Commission"
KNearestNeigbor_Base,0.02419933782539145,0.25816918651830334,0.03047635002502903,0.013986013986013986,0.007407407407407408,0.125,0.9820565029269535,"Commission, Net Sales"
KNearestNeigbor_Base,0.028914556267767243,0.2627629007569735,0.03026617436687855,0.0,0.0,0.0,0.9820565029269535,"Duration, Commission, Net Sales"
KNearestNeigbor_Base,0.02705258229315235,0.25652004678549467,0.030163776914653974,0.013888888888888888,0.007407407407407408,0.1111111111111111,0.9819292440824637,"Commission, Net Sales, Age"
KNearestNeigbor_Base,0.027600436420295367,0.2628387592892798,0.02961791550005945,0.0,0.0,0.0,0.981801985237974,"Duration, Net Sales"
KNearestNeigbor_Base,0.029739817429215644,0.2548711112503802,0.029367867878683396,0.0,0.0,0.0,0.9823110206159328,Duration
KNearestNeigbor_Base,0.026604594061450545,0.2561180325065703,0.0291020622814566,0.013986013986013986,0.007407407407407408,0.125,0.9820565029269535,Net Sales
KNearestNeigbor_Base,0.029353475692662934,0.2522511211092572,0.028928703821984453,0.014184397163120567,0.007407407407407408,0.16666666666666666,0.9823110206159328,Commission
KNearestNeigbor_Base,0.029480742422698568,0.25225466541747477,0.02874278755687238,0.0,0.0,0.0,0.9821837617714431,"Duration, Commission"
KNearestNeigbor_Base,0.029152437128984618,0.2527976071124597,0.02859234342453254,0.0,0.0,0.0,0.9821837617714431,"Duration, Age"
KNearestNeigbor_Base,0.026659988112961944,0.2588395049979567,0.028062537397116706,0.0,0.0,0.0,0.9815474675489947,"Duration, Commission, Net Sales, Age"
KNearestNeigbor_Base,0.02642090791072273,0.260178164072792,0.02795026463874541,0.0,0.0,0.0,0.9816747263934843,"Duration, Net Sales, Age"
KNearestNeigbor_Base,0.030643888689649634,0.22367025147890404,0.02784009168419167,0.014388489208633094,0.007407407407407408,0.25,0.9825655383049122,None
KNearestNeigbor_Base,0.02829669870892204,0.2518335959986502,0.027743884482044956,0.0,0.0,0.0,0.9821837617714431,"Duration, Commission, Age"
KNearestNeigbor_Base,0.026256606510031977,0.25778217536269327,0.02760588578301576,0.013986013986013986,0.007407407407407408,0.125,0.9820565029269535,"Net Sales, Age"
KNearestNeigbor_Base,0.03507657989027551,0.25125373618248315,0.027345424542505332,0.04195804195804196,0.022222222222222223,0.375,0.9825655383049122,"Commission, Age"
KNearestNeigbor_Base,0.030903742211004826,0.22680635025493073,0.02643158099335067,0.014184397163120567,0.007407407407407408,0.16666666666666666,0.9823110206159328,Age
DecisionTree_Base,0.021818541147761984,0.2761616682846197,0.022074686416376364,0.07792207792207792,0.08888888888888889,0.06936416184971098,0.9638584881649275,"Duration, Age"
DecisionTree_Base,0.018983742738727043,0.3118832115890311,0.021693478298138454,0.052805280528052806,0.05925925925925926,0.047619047619047616,0.9634767116314584,"Duration, Commission, Age"
DecisionTree_Base,0.0208156985670579,0.3075337641605104,0.021569939797168942,0.050359712230215826,0.05185185185185185,0.04895104895104895,0.9664036650547213,None
DecisionTree_Base,0.01801337347560588,0.2768170841846457,0.021377944065561073,0.038314176245210725,0.037037037037037035,0.03968253968253968,0.9680580300330873,"Commission, Net Sales"
DecisionTree_Base,0.02324554299745523,0.2894410305720923,0.021350744669741503,0.0872093023255814,0.1111111111111111,0.07177033492822966,0.9600407228302367,"Commission, Age"
DecisionTree_Base,0.02004817431813275,0.3033355663602063,0.021217602995062982,0.06376811594202898,0.08148148148148149,0.05238095238095238,0.9588953932298294,"Duration, Commission"
DecisionTree_Base,0.02276171689971845,0.2915487261352881,0.020810958257900403,0.08414239482200647,0.0962962962962963,0.07471264367816093,0.9639857470094172,Age
DecisionTree_Base,0.019918682210320858,0.2934853635539457,0.02077318654889099,0.06006006006006006,0.07407407407407407,0.050505050505050504,0.9601679816747264,Duration
DecisionTree_Base,0.02623325451939789,0.3227613946658329,0.020729629818632262,0.10457516339869281,0.11851851851851852,0.0935672514619883,0.9651310766098243,"Duration, Commission, Net Sales"
DecisionTree_Base,0.018430315748518448,0.2983147561650335,0.0206600734412501,0.039603960396039604,0.044444444444444446,0.03571428571428571,0.9629676762534997,"Commission, Net Sales, Age"
DecisionTree_Base,0.019059344759712334,0.27382385641423,0.020249537718927325,0.03908794788273615,0.044444444444444446,0.03488372093023256,0.9624586408755409,"Net Sales, Age"
DecisionTree_Base,0.019914410986078542,0.28161469682451035,0.019908337814393596,0.06483790523690773,0.0962962962962963,0.04887218045112782,0.9522779333163655,Commission
DecisionTree_Base,0.01999964866567451,0.27979644035726114,0.019868241491423966,0.05750798722044728,0.06666666666666667,0.05056179775280899,0.9624586408755409,Net Sales
DecisionTree_Base,0.019408366089506298,0.3265727329238211,0.0198536031926426,0.05504587155963303,0.06666666666666667,0.046875,0.9606770170526852,"Duration, Net Sales"
DecisionTree_Base,0.021184796294781212,0.33428878102336523,0.019049878793788437,0.07028753993610223,0.08148148148148149,0.06179775280898876,0.9629676762534997,"Duration, Net Sales, Age"
DecisionTree_Base,0.018967045286132155,0.33959431721367217,0.018747362453029125,0.05263157894736842,0.05925925925925926,0.047337278106508875,0.9633494527869687,"Duration, Commission, Net Sales, Age"